relpress,quantity,amountmol,rouquerol,betplot,type
9.84544e-06,0.3037,0.013558035714285717,0.013557902229458574,0.7261772384379536,Absorption isotherm
2.82767e-05,4.5413,0.20273660714285713,0.20273087442063792,0.13947900180872225,Absorption isotherm
4.51567e-05,6.6701,0.2977723214285714,0.2977588750131843,0.15165526131840915,Absorption isotherm
6.53845e-05,8.7974,0.39274107142857145,0.39271539224998664,0.16649334681126757,Absorption isotherm
0.000106335,12.5964,0.5623392857142857,0.5622794893663393,0.18911413631650373,Absorption isotherm
0.000219028,21.0138,0.9381160714285715,0.9379105977416786,0.23352758837290072,Absorption isotherm
0.000408614,31.8036,1.4198035714285715,1.4192234198120357,0.2879137944708646,Linear BET range
0.000654091,41.9209,1.8714687500000002,1.8702446391338439,0.3497355299480637,Linear BET range
0.000813501,47.1723,2.1059062500000003,2.104193093159719,0.38660948115670446,Linear BET range
0.00100518,52.7015,2.352745535714286,2.3503806029566965,0.4276669058345354,Linear BET range
0.00216012,77.5468,3.4619107142857146,3.4544325717135718,0.6253183280194906,Linear BET range
0.00411624,109.6314,4.894258928571428,4.874112984199286,0.844510583432077,Linear BET range
0.0061333,137.2944,6.129214285714286,6.091621975735714,1.0068418599233995,Linear BET range
0.00814159,161.9364,7.229303571428572,7.170445545764465,1.135437114477382,Linear BET range
0.0101854,185.4913,8.280861607142857,8.196517719329464,1.2426496652328645,Linear BET range
0.0176181,262.1886,11.704848214285715,11.498631027961608,1.5321910892833657,Linear BET range
0.025954,321.809,14.366473214285717,13.993605768482146,1.8547042434521273,Linear BET range
0.0374245,370.5277,16.54141517857143,15.922360986220983,2.350436598717157,Linear BET range
0.0492739,402.3947,17.96404910714286,17.078890347842414,2.8850761961958966,Linear BET range
0.0671946,437.8455,19.54667410714286,18.233243159183036,3.6852796517528987,Linear BET range
0.0751676,451.7022,20.165276785714287,18.64950132639643,4.030542087128522,Linear BET range
0.0878645,472.6667,21.101191964285714,19.24714628293973,4.5650663588441285,Linear BET range
0.100513,493.3216,22.023285714285716,19.80965919728572,5.073938879966805,Linear BET range
0.125692,543.0039,24.241245535714288,21.194314901839288,5.9304582659141385,Absorption isotherm
0.149522,703.1854,31.392205357142856,26.698380027732146,5.600414700992663,Absorption isotherm
0.175314,830.6707,37.08351339285714,30.582254325901786,5.7325401238167375,Knee
0.200306,842.4475,37.609263392857144,30.0759022796875,6.6600163192870045,Absorption isotherm
0.22571,852.1896,38.044178571428574,29.457227026071433,7.662296243982264,Absorption isotherm
0.251153,860.5997,38.41962946428571,28.770424265441964,8.729554965293866,Absorption isotherm
0.274579,867.0526,38.707705357142856,28.079382327883927,9.778669516078788,Absorption isotherm
0.299325,873.6883,39.003941964285715,27.329087035825893,10.952616148779972,Absorption isotherm
0.324348,879.8189,39.27762946428572,26.53800890280357,12.222017152377049,Absorption isotherm
0.350113,885.6326,39.537169642857144,25.6946925676875,13.625887878506338,Absorption isotherm
0.3753,891.1125,39.781808035714285,24.851695479910713,15.101585334625561,Absorption isotherm
0.39979,896.1629,40.00727232142857,24.012764920044646,16.649061502545898,Absorption isotherm
0.424953,901.145,40.229687500000004,23.133961107812503,18.369227734911785,Absorption isotherm
0.45013,905.7165,40.43377232142858,22.233318386383935,20.245740747169226,Absorption isotherm
0.475179,910.5418,40.649187500000004,21.3335472329375,22.273792295842718,Absorption isotherm
0.50012,914.8935,40.843459821428574,20.416828695535717,24.495479070623478,Absorption isotherm
0.52569,919.1182,41.0320625,19.461917564375,27.011212963016266,Absorption isotherm
0.549575,923.2629,41.217093750000004,18.56520945234375,29.602413127131157,Absorption isotherm
0.576189,928.0406,41.43038392857143,17.55865244315179,32.815103657042016,Absorption isotherm
0.60016,932.0121,41.60768303571429,16.636415985,36.07507774157163,Absorption isotherm
0.624807,935.9494,41.783455357142856,15.676859965812499,39.85536653147093,Absorption isotherm
0.650759,940.3921,41.98179017857143,14.661762383754466,44.384773328549805,Absorption isotherm
0.674988,944.5072,42.1655,13.704293486,49.25376128944937,Absorption isotherm
0.700011,948.4982,42.343669642857144,12.70263511249107,55.107542159630164,Absorption isotherm
0.725434,952.416,42.518571428571434,11.674154082857143,62.14017691142695,Absorption isotherm
0.750101,956.5682,42.7039375,10.6716712773125,70.28899040346955,Absorption isotherm
0.77535,960.4389,42.87673660714286,9.632258878794644,80.4951372005717,Absorption isotherm
0.800133,964.7849,43.07075446428572,8.608422482513395,92.94769182452877,Absorption isotherm
0.826155,968.9768,43.25789285714286,7.520168383750002,109.85857734052891,Absorption isotherm
0.85014,974.0653,43.48505803571429,6.516670797232143,130.45618329547722,Absorption isotherm
0.875743,979.2762,43.717687500000004,5.432228695687498,161.21246896236698,Absorption isotherm
0.899699,984.7891,43.96379910714286,4.409613014245535,204.03128281177175,Absorption isotherm
0.927218,994.2251,44.38504910714286,3.2304326441160724,287.0259504369608,Absorption isotherm
0.95073,1005.021,44.86700892857143,2.210597529910716,430.07828749288393,Absorption isotherm
0.974039,1027.8468,45.88601785714286,1.1912469095892864,817.6634013983092,Absorption isotherm
0.98934,1065.1822,47.552776785714286,0.5069126005357144,1951.6973911369487,Absorption isotherm
0.10156774485043735,493.8090395068761,22.04504640655697,,5.128135086661833,$n_{m}$(BET)
0.10079941585642663,493.8090395068761,22.04504640655697,,5.084993681235946,$n_{m}$(exp)
